date,BCR
2015-06-09,166.4202264973
2015-06-10,168.8139082098
2015-06-11,169.585425456
2015-06-12,168.6556482619
2015-06-15,167.4291336654
2015-06-16,168.2303246518
2015-06-17,168.1511946778
2015-06-18,170.594332624
2015-06-19,169.9810753258
2015-06-22,171.5735660519
2015-06-23,171.0888949613
2015-06-24,170.2184652477
2015-06-25,170.9800912471
2015-06-26,171.6526960258
2015-06-29,169.0809718719
2015-06-30,168.84358195
2015-07-01,170.8910700264
2015-07-02,169.4370567548
2015-07-06,169.4964042352
2015-07-07,170.752592572
2015-07-08,169.9909665725
2015-07-09,169.3381442873
2015-07-10,172.6418207004
2015-07-13,176.2620170093
2015-07-14,177.3203804111
2015-07-15,176.2916907496
2015-07-16,176.9445130348
2015-07-17,177.1326991948
2015-07-20,177.7863984872
2015-07-21,176.5285225759
2015-07-22,177.6873531399
2015-07-23,177.7368758136
2015-07-24,185.9576396433
2015-07-27,188.3248234449
2015-07-28,191.1079977054
2015-07-29,192.6927232629
2015-07-30,191.2565657264
2015-07-31,194.7726755572
2015-08-03,194.3170669594
2015-08-04,194.4161123067
2015-08-05,198.1897400407
2015-08-06,197.0705276156
2015-08-07,196.6743462263
2015-08-10,197.1794774977
2015-08-11,197.0804321504
2015-08-12,196.0206469338
2015-08-13,197.1200502893
2015-08-14,197.6251815608
2015-08-17,197.9421266723
2015-08-18,198.100599228
2015-08-19,198.6156350342
2015-08-20,193.4256588333
2015-08-21,189.6718401688
2015-08-24,182.4712434167
2015-08-25,182.3821026041
2015-08-26,187.6315060135
2015-08-27,194.6142030014
2015-08-28,195.5848474054
2015-08-31,191.9399786231
2015-09-01,185.7595489487
2015-09-02,190.0284034193
2015-09-03,188.5724368133
2015-09-04,186.1359212686
2015-09-08,190.860384337
2015-09-09,187.4532243883
2015-09-10,189.3945131963
2015-09-11,190.9198115454
2015-09-14,189.5727948215
2015-09-15,192.0588330399
2015-09-16,193.0690955828
2015-09-17,195.3570431065
2015-09-18,193.0690955828
2015-09-21,194.5052531194
2015-09-22,193.7822220837
2015-09-23,193.8911719658
2015-09-24,193.1582363954
2015-09-25,191.3258974695
2015-09-28,183.580551307
2015-09-29,183.6300739807
2015-09-30,184.5313866416
2015-10-01,188.4040597228
2015-10-02,191.2466611917
2015-10-05,189.6322220299
2015-10-06,185.4029856982
2015-10-07,185.036517913
2015-10-08,185.2346086077
2015-10-09,184.9275680309
2015-10-12,187.3244654367
2015-10-13,186.4033437064
2015-10-14,185.185085934
2015-10-15,191.1079977054
2015-10-16,193.3068044165
2015-10-19,193.8911719658
2015-10-20,190.5335346908
2015-10-21,187.8395012429
2015-10-22,185.1949904688
2015-10-23,177.9355531215
2015-10-26,177.8462977443
2015-10-27,182.1603076433
2015-10-28,182.6363363218
2015-10-29,184.6495409413
2015-10-30,184.8082171675
2015-11-02,188.4875221618
2015-11-03,186.2561377313
2015-11-04,185.7007709397
2015-11-05,184.1635949987
2015-11-06,184.5106992434
2015-11-09,183.6677317919
2015-11-10,184.480947451
2015-11-11,182.4280737749
2015-11-12,180.4842900044
2015-11-13,180.8016424567
2015-11-16,183.2412894341
2015-11-17,182.0809695302
2015-11-18,183.677649056
2015-11-19,180.4545382119
2015-11-20,185.8792816941
2015-11-23,185.7106882038
2015-11-24,184.699127262
2015-11-25,185.8495299017
2015-11-27,185.8197781093
2015-11-30,185.2743285819
2015-12-01,187.406540371
2015-12-02,186.9503462208
2015-12-03,181.7437825496
2015-12-04,186.0379579203
2015-12-07,187.5453820689
2015-12-08,186.2759722596
2015-12-09,183.9751669801
2015-12-10,182.6065845294
2015-12-11,181.4165128331
2015-12-14,184.8181344316
2015-12-15,186.1668823541
2015-12-16,189.816435556
2015-12-17,189.0428889534
2015-12-18,185.7602745245
2015-12-21,185.433004808
2015-12-22,187.1586087676
2015-12-23,186.4048966933
2015-12-24,188.2990941432
2015-12-28,187.18836056
2015-12-29,189.9156081973
2015-12-30,189.1123098024
2015-12-31,187.8726517854
