Date,MHK
2015-05-21,188.6199951171875
2015-05-22,187.17999267578125
2015-05-26,186.55999755859375
2015-05-27,189.5
2015-05-28,188.8300018310547
2015-05-29,186.63999938964844
2015-06-01,188.8000030517578
2015-06-02,189.4499969482422
2015-06-03,189.47000122070312
2015-06-04,188.57000732421875
2015-06-05,188.60000610351562
2015-06-08,186.8699951171875
2015-06-09,186.9499969482422
2015-06-10,192.44000244140625
2015-06-11,189.99000549316406
2015-06-12,190.6199951171875
2015-06-15,189.0500030517578
2015-06-16,191.0800018310547
2015-06-17,192.38999938964844
2015-06-18,191.64999389648438
2015-06-19,192.77999877929688
2015-06-22,194.33999633789062
2015-06-23,193.2899932861328
2015-06-24,191.8699951171875
2015-06-25,191.89999389648438
2015-06-26,193.1699981689453
2015-06-29,188.74000549316406
2015-06-30,190.89999389648438
2015-07-01,194.10000610351562
2015-07-02,193.5500030517578
2015-07-06,191.52999877929688
2015-07-07,194.22999572753906
2015-07-08,189.6199951171875
2015-07-09,189.41000366210938
2015-07-10,194.00999450683594
2015-07-13,195.4499969482422
2015-07-14,196.0500030517578
2015-07-15,194.75999450683594
2015-07-16,195.2100067138672
2015-07-17,193.57000732421875
2015-07-20,196.82000732421875
2015-07-21,195.14999389648438
2015-07-22,197.82000732421875
2015-07-23,197.99000549316406
2015-07-24,196.0
2015-07-27,191.5500030517578
2015-07-28,196.10000610351562
2015-07-29,199.5800018310547
2015-07-30,200.66000366210938
2015-07-31,201.58999633789062
2015-08-03,200.8300018310547
2015-08-04,202.7899932861328
2015-08-05,202.75999450683594
2015-08-06,197.63999938964844
2015-08-07,203.85000610351562
2015-08-10,205.4199981689453
2015-08-11,204.9199981689453
2015-08-12,205.3000030517578
2015-08-13,205.88999938964844
2015-08-14,207.3800048828125
2015-08-17,208.42999267578125
2015-08-18,211.3300018310547
2015-08-19,210.83999633789062
2015-08-20,204.41000366210938
2015-08-21,200.17999267578125
2015-08-24,190.3300018310547
2015-08-25,189.17999267578125
2015-08-26,192.80999755859375
2015-08-27,194.3699951171875
2015-08-28,197.58999633789062
2015-08-31,196.97000122070312
2015-09-01,192.86000061035156
2015-09-02,197.8699951171875
2015-09-03,200.3800048828125
2015-09-04,197.5
2015-09-08,204.19000244140625
2015-09-09,201.49000549316406
2015-09-10,202.2100067138672
2015-09-11,206.7100067138672
2015-09-14,205.3699951171875
2015-09-15,206.61000061035156
2015-09-16,205.75
2015-09-17,206.97000122070312
2015-09-18,202.19000244140625
2015-09-21,201.10000610351562
2015-09-22,198.38999938964844
2015-09-23,196.97999572753906
2015-09-24,192.82000732421875
2015-09-25,191.49000549316406
2015-09-28,179.52000427246094
2015-09-29,176.19000244140625
2015-09-30,181.7899932861328
2015-10-01,186.1300048828125
2015-10-02,188.97000122070312
2015-10-05,195.1199951171875
2015-10-06,191.02000427246094
2015-10-07,194.82000732421875
2015-10-08,197.52000427246094
2015-10-09,196.32000732421875
2015-10-12,197.8000030517578
2015-10-13,193.75
2015-10-14,190.11000061035156
2015-10-15,191.49000549316406
2015-10-16,196.11000061035156
2015-10-19,198.0
2015-10-20,195.9199981689453
2015-10-21,195.00999450683594
2015-10-22,196.25999450683594
2015-10-23,195.47999572753906
2015-10-26,196.83999633789062
2015-10-27,195.22999572753906
2015-10-28,196.39999389648438
2015-10-29,192.38999938964844
2015-10-30,195.5
2015-11-02,198.32000732421875
2015-11-03,198.19000244140625
2015-11-04,198.1699981689453
2015-11-05,197.4600067138672
2015-11-06,187.13999938964844
2015-11-09,186.38999938964844
2015-11-10,188.2100067138672
2015-11-11,187.69000244140625
2015-11-12,184.55999755859375
2015-11-13,180.75
2015-11-16,182.67999267578125
2015-11-17,182.47000122070312
2015-11-18,188.97999572753906
2015-11-19,191.3800048828125
2015-11-20,192.2899932861328
2015-11-23,194.30999755859375
2015-11-24,192.55999755859375
2015-11-25,193.16000366210938
2015-11-27,192.7100067138672
2015-11-30,190.72000122070312
2015-12-01,191.02000427246094
2015-12-02,190.05999755859375
2015-12-03,184.13999938964844
2015-12-04,189.47999572753906
2015-12-07,190.8300018310547
2015-12-08,192.39999389648438
2015-12-09,190.22999572753906
2015-12-10,190.6999969482422
2015-12-11,190.38999938964844
2015-12-14,191.75999450683594
2015-12-15,193.69000244140625
2015-12-16,199.85000610351562
2015-12-17,193.33999633789062
2015-12-18,188.02000427246094
2015-12-21,189.4499969482422
2015-12-22,189.75999450683594
2015-12-23,192.52999877929688
2015-12-24,190.7100067138672
2015-12-28,190.44000244140625
2015-12-29,192.50999450683594
2015-12-30,189.88999938964844
2015-12-31,189.38999938964844
