date,PDCO
2015-07-06,34.9640407922
2015-07-07,35.2771091265
2015-07-08,34.5727053743
2015-07-09,34.6723180261
2015-07-10,34.9996167393
2015-07-13,34.9640407922
2015-07-14,34.892888898
2015-07-15,34.8359673827
2015-07-16,35.186185356
2015-07-17,35.100417689
2015-07-20,35.0075027165
2015-07-21,35.0360919388
2015-07-22,35.607876385
2015-07-23,34.8109518132
2015-07-24,34.6429901321
2015-07-27,34.4571601871
2015-07-28,34.7859362436
2015-07-29,34.9789134942
2015-07-30,35.5721398571
2015-07-31,35.8508847746
2015-08-03,35.7007913575
2015-08-04,35.5721398571
2015-08-05,35.8294428579
2015-08-06,35.5792871627
2015-08-07,35.5506979404
2015-08-10,35.8580320802
2015-08-11,35.6364656073
2015-08-12,35.372015301
2015-08-13,35.4649302735
2015-08-14,35.5864344683
2015-08-17,35.7365278854
2015-08-18,36.8443602498
2015-08-19,36.7300033606
2015-08-20,35.8508847746
2015-08-21,35.1075649946
2015-08-24,34.1569733529
2015-08-25,33.7853134629
2015-08-26,35.0432392444
2015-08-27,32.8347218211
2015-08-28,33.1563505721
2015-08-31,32.7561014598
2015-09-01,31.7769205957
2015-09-02,32.1199912634
2015-09-03,32.0485182076
2015-09-04,31.9341613184
2015-09-08,32.8990475713
2015-09-09,32.312968514
2015-09-10,32.5416822924
2015-09-11,32.684628404
2015-09-14,32.6345972649
2015-09-15,32.8990475713
2015-09-16,32.1557277913
2015-09-17,32.177169708
2015-09-18,32.1056966522
2015-09-21,32.312968514
2015-09-22,32.1700224024
2015-09-23,32.2343481526
2015-09-24,32.1700224024
2015-09-25,31.6625637065
2015-09-28,30.6690882312
2015-09-29,30.7119720647
2015-09-30,30.9120966209
2015-10-01,30.8692127874
2015-10-02,31.4409972336
2015-10-05,31.9627505407
2015-10-06,31.5410595117
2015-10-07,32.1700224024
2015-10-08,32.870458349
2015-10-09,33.427948184
2015-10-12,33.4065062673
2015-10-13,32.9562260159
2015-10-14,32.4487673199
2015-10-15,32.7791443223
2015-10-16,32.987425476
2015-10-19,33.0807928897
2015-10-20,33.1454318684
2015-10-21,33.1885245209
2015-10-22,32.8222369748
2015-10-23,33.7630932207
2015-10-26,33.7702753294
2015-10-27,33.5117194145
2015-10-28,33.6625436982
2015-10-29,34.1365628755
2015-10-30,34.0431954618
2015-11-02,34.4813040954
2015-11-03,34.4310293342
2015-11-04,34.5387609654
2015-11-05,34.5603072916
2015-11-06,34.6105820529
2015-11-09,34.4166651167
2015-11-10,34.5243967479
2015-11-11,34.5172146391
2015-11-12,33.7918216557
2015-11-13,33.5907226108
2015-11-16,34.1150165493
2015-11-17,34.3592082467
2015-11-18,35.0127801427
2015-11-19,34.6752210316
2015-11-20,34.8260453153
2015-11-23,34.9265948377
2015-11-24,32.8294190835
2015-11-25,32.7504158873
2015-11-27,32.7432337786
2015-11-30,32.7288695611
2015-12-01,32.872511736
2015-12-02,32.6570484736
2015-12-03,31.8526522939
2015-12-04,32.2907609275
2015-12-07,32.4128567762
2015-12-08,31.9460197076
2015-12-09,31.6443711403
2015-12-10,31.7449206627
2015-12-11,31.4289078778
2015-12-14,31.2852657029
2015-12-15,31.3283583554
2015-12-16,32.0034765776
2015-12-17,31.8885628377
2015-12-18,31.6371890315
2015-12-21,31.8311059677
2015-12-22,32.0896618826
2015-12-23,32.247668275
2015-12-24,32.3697641237
2015-12-28,32.4774957549
2015-12-29,32.7001411261
2015-12-30,32.6426842561
2015-12-31,32.4703136462
