date,K
2015-05-04,39.4144115143
2015-05-05,38.8305398328
2015-05-06,38.7260575319
2015-05-07,39.0640885054
2015-05-08,39.0948185939
2015-05-11,39.1993008948
2015-05-12,39.1316947001
2015-05-13,39.1685708063
2015-05-14,39.6909823109
2015-05-15,40.0904734614
2015-05-18,39.7278584171
2015-05-19,39.4512876205
2015-05-20,39.4758716913
2015-05-21,39.3099292134
2015-05-22,39.1378407178
2015-05-26,38.7199115142
2015-05-27,38.867415939
2015-05-28,38.7506416027
2015-05-29,38.8807188843
2015-06-01,38.7444474464
2015-06-02,38.5090695083
2015-06-03,38.5710110709
2015-06-04,38.5648169147
2015-06-05,38.0630902571
2015-06-08,37.9763720694
2015-06-09,38.1002551947
2015-06-10,38.4347396331
2015-06-11,38.5400402896
2015-06-12,38.4842928832
2015-06-15,38.2117500075
2015-06-16,38.6948941963
2015-06-17,38.9116896656
2015-06-18,39.085126041
2015-06-19,39.2337857914
2015-06-22,39.270950729
2015-06-23,39.3143098229
2015-06-24,39.2771448853
2015-06-25,38.9426604469
2015-06-26,39.0541552597
2015-06-29,38.7754182277
2015-06-30,38.8373597904
2015-07-01,39.0293786346
2015-07-02,39.1099026661
2015-07-06,38.8621364155
2015-07-07,39.7169299802
2015-07-08,39.4443871045
2015-07-09,39.3886396981
2015-07-10,39.4877461984
2015-07-13,39.7540949178
2015-07-14,39.7169299802
2015-07-15,39.4443871045
2015-07-16,39.9523079183
2015-07-17,39.8593955743
2015-07-20,39.7293182927
2015-07-21,39.6549884176
2015-07-22,39.8841721994
2015-07-23,39.8470072618
2015-07-24,39.9770845434
2015-07-27,40.0638027311
2015-07-28,40.292986513
2015-07-29,40.5283644511
2015-07-30,40.9371787647
2015-07-31,40.9867320148
2015-08-03,40.9247904522
2015-08-04,41.8105547983
2015-08-05,42.5290769252
2015-08-06,42.6529600505
2015-08-07,42.6901249881
2015-08-10,42.7396782382
2015-08-11,42.8635613636
2015-08-12,42.6777366756
2015-08-13,42.6715425193
2015-08-14,43.2166282707
2015-08-17,43.1113276142
2015-08-18,42.9255029262
2015-08-19,42.7087074569
2015-08-20,42.5662418628
2015-08-21,41.7857781732
2015-08-24,40.7203832954
2015-08-25,40.3239572943
2015-08-26,41.4574878911
2015-08-27,41.7238366105
2015-08-28,41.8353314233
2015-08-31,41.3610645397
2015-09-01,41.0053643769
2015-09-02,41.6481208113
2015-09-03,42.0163016816
2015-09-04,41.5482751516
2015-09-08,42.1348684025
2015-09-09,41.2861802949
2015-09-10,41.4047470158
2015-09-11,41.8041296547
2015-09-14,41.6418804576
2015-09-15,42.0974262801
2015-09-16,42.6777791772
2015-09-17,42.9773161564
2015-09-18,42.0911859264
2015-09-21,42.2222333547
2015-09-22,41.8290910696
2015-09-23,41.9913402666
2015-09-24,41.9414174368
2015-09-25,42.5716931638
2015-09-28,41.5045926755
2015-09-29,41.4671505531
2015-09-30,41.5295540904
2015-10-01,41.3361031247
2015-10-02,42.0662245114
2015-10-05,42.4718475041
2015-10-06,42.1535894637
2015-10-07,42.5716931638
2015-10-08,43.2082092445
2015-10-09,43.3330163192
2015-10-12,43.5763901147
2015-10-13,43.2830934893
2015-10-14,42.8400283743
2015-10-15,43.1832478296
2015-10-16,43.5514286998
2015-10-19,43.4391023326
2015-10-20,43.0397196937
2015-10-21,43.4391023326
2015-10-22,44.9367872284
2015-10-23,44.7433362627
2015-10-26,44.6497309567
2015-10-27,44.3314729164
2015-10-28,44.2565886716
2015-10-29,44.3002711477
2015-10-30,44.0069745223
2015-11-02,44.0631377059
2015-11-03,42.4905685653
2015-11-04,42.8587494355
2015-11-05,43.289333843
2015-11-06,42.3907229055
2015-11-09,42.1036666338
2015-11-10,42.0163016816
2015-11-11,42.1972719398
2015-11-12,41.3735452471
2015-11-13,41.2424978187
2015-11-16,41.7666875323
2015-11-17,41.2050556963
2015-11-18,41.3797856008
2015-11-19,41.4796312606
2015-11-20,41.3423434785
2015-11-23,42.7901055444
2015-11-24,42.3470404294
2015-11-25,43.1707671221
2015-11-27,43.5389479923
2015-11-30,43.2246781209
2015-12-01,43.608087364
2015-12-02,43.30010289
2015-12-03,43.0738285826
2015-12-04,44.1109191584
2015-12-07,44.3183372736
2015-12-08,44.5131845939
2015-12-09,44.3749058504
2015-12-10,44.456616017
2015-12-11,44.0794921712
2015-12-14,44.676604927
2015-12-15,44.9468770165
2015-12-16,45.2360052982
2015-12-17,45.0097309908
2015-12-18,44.4880430041
2015-12-21,44.6577487347
2015-12-22,45.3742840417
2015-12-23,45.9273990154
2015-12-24,45.8016910669
2015-12-28,45.8016910669
2015-12-29,46.2039565023
2015-12-30,46.0028237846
2015-12-31,45.4245672211
