date,KSU
2015-07-08,85.7271717428
2015-07-09,86.2823396116
2015-07-10,87.4481921361
2015-07-13,87.0688274257
2015-07-14,87.3926753492
2015-07-15,86.411878781
2015-07-16,85.6346437646
2015-07-17,91.2325864418
2015-07-20,90.1222507042
2015-07-21,90.4460986277
2015-07-22,89.3265100922
2015-07-23,86.3841203875
2015-07-24,86.0510196662
2015-07-27,86.2268228247
2015-07-28,90.4460986277
2015-07-29,93.5365330974
2015-07-30,93.3144659499
2015-07-31,91.7785015128
2015-08-03,90.1870202889
2015-08-04,90.6496601796
2015-08-05,90.1685146933
2015-08-06,89.9927115348
2015-08-07,88.8268590103
2015-08-10,92.2781525948
2015-08-11,90.9179913162
2015-08-12,90.5386266058
2015-08-13,90.4738570211
2015-08-14,91.2140808462
2015-08-17,91.8340182997
2015-08-18,92.0098214582
2015-08-19,90.7051769665
2015-08-20,88.1606575677
2015-08-21,85.8567109121
2015-08-24,82.8773100162
2015-08-25,80.0644594809
2015-08-26,82.7755292402
2015-08-27,86.3008452072
2015-08-28,87.5129617208
2015-08-31,85.8104469231
2015-09-01,83.034607579
2015-09-02,84.6353416008
2015-09-03,84.5613192182
2015-09-04,83.5897754478
2015-09-08,86.1713060378
2015-09-09,85.2460262565
2015-09-10,86.4766483657
2015-09-11,85.9473700497
2015-09-14,85.9566556342
2015-09-15,87.6094896736
2015-09-16,88.4451922778
2015-09-17,89.754459691
2015-09-18,87.7766301944
2015-09-21,88.0273409757
2015-09-22,85.2416656283
2015-09-23,84.9723836781
2015-09-24,83.8488279547
2015-09-25,84.5266756225
2015-09-28,82.493132619
2015-09-29,81.8524272891
2015-09-30,84.3873918552
2015-10-01,86.5323618726
2015-10-02,87.4423491527
2015-10-05,88.7887589039
2015-10-06,88.8351868264
2015-10-07,89.8194587825
2015-10-08,91.4258648994
2015-10-09,90.9523000904
2015-10-12,90.9801568438
2015-10-13,89.299466051
2015-10-14,89.4851777408
2015-10-15,90.9987280128
2015-10-16,81.1281516988
2015-10-19,80.4781607844
2015-10-20,82.3259920981
2015-10-21,81.1652940367
2015-10-22,79.9953103909
2015-10-23,79.9767392219
2015-10-26,79.7631707786
2015-10-27,76.2625054254
2015-10-28,77.6367719301
2015-10-29,78.1010511547
2015-10-30,76.8474972484
2015-11-02,78.6303294707
2015-11-03,80.394590524
2015-11-04,80.8588697485
2015-11-05,82.2145650842
2015-11-06,81.3881480645
2015-11-09,83.4031198991
2015-11-10,83.1338379489
2015-11-11,82.47456145
2015-11-12,81.453147156
2015-11-13,81.2024363747
2015-11-16,81.6852867682
2015-11-17,81.908140796
2015-11-18,85.7709439443
2015-11-19,86.9594987592
2015-11-20,86.8480717453
2015-11-23,85.2509512128
2015-11-24,84.8795278332
2015-11-25,84.8609566642
2015-11-27,85.6688025149
2015-11-30,84.4245341931
2015-12-01,85.083810692
2015-12-02,79.0388951883
2015-12-03,76.7824981569
2015-12-04,76.1232216581
2015-12-07,73.7925399508
2015-12-08,71.2297186313
2015-12-09,70.6725835618
2015-12-10,69.3540305641
2015-12-11,69.2983170571
2015-12-14,68.7876099101
2015-12-15,68.4533288684
2015-12-16,70.4218727805
2015-12-17,66.78192366
2015-12-18,65.0083770222
2015-12-21,65.1198040361
2015-12-22,66.7540669066
2015-12-23,68.6018982203
2015-12-24,68.4997567909
2015-12-28,68.2861883476
2015-12-29,69.4004584865
2015-12-30,69.2698837763
2015-12-31,69.6429543769
