date,FL
2015-06-22,50.1189303659
2015-06-23,50.8682423643
2015-06-24,50.6364963854
2015-06-25,51.0304645495
2015-06-26,51.9960727948
2015-06-29,51.0072899516
2015-06-30,51.7643268159
2015-07-01,52.5059139484
2015-07-02,52.1505701141
2015-07-06,52.5213636803
2015-07-07,53.201151885
2015-07-08,53.2475010808
2015-07-09,53.2629508127
2015-07-10,53.7341676364
2015-07-13,54.452580171
2015-07-14,54.2208341921
2015-07-15,53.8345908939
2015-07-16,54.2144720797
2015-07-17,53.8500962485
2015-07-20,54.2764934978
2015-07-21,53.9663864074
2015-07-22,54.4703104293
2015-07-23,54.1912140479
2015-07-24,53.8268382167
2015-07-27,53.330666872
2015-07-28,53.5012257718
2015-07-29,53.8113328622
2015-07-30,54.493568461
2015-07-31,54.6951380698
2015-08-03,54.4082890112
2015-08-04,55.6099539865
2015-08-05,56.1681467492
2015-08-06,55.2843415416
2015-08-07,55.0672665783
2015-08-10,56.757350221
2015-08-11,56.8426296708
2015-08-12,55.9898351722
2015-08-13,56.3309529717
2015-08-14,56.7651028982
2015-08-17,57.4008224336
2015-08-18,57.4628438516
2015-08-19,57.4163277881
2015-08-20,55.6022013092
2015-08-21,53.508978449
2015-08-24,52.5166357597
2015-08-25,52.6949473367
2015-08-26,54.7959228742
2015-08-27,55.6874807591
2015-08-28,55.5246745366
2015-08-31,54.881202324
2015-09-01,54.5788479109
2015-09-02,55.3851263459
2015-09-03,54.9587290966
2015-09-04,54.8967076786
2015-09-08,56.0441039131
2015-09-09,55.1447933509
2015-09-10,55.5401798912
2015-09-11,55.9743298177
2015-09-14,56.0596092676
2015-09-15,56.3154476172
2015-09-16,56.8736403799
2015-09-17,56.9821778615
2015-09-18,56.8581350254
2015-09-21,56.8193716391
2015-09-22,56.6488127393
2015-09-23,57.2535215656
2015-09-24,57.6644134604
2015-09-25,58.7342829223
2015-09-28,57.2767795974
2015-09-29,55.7495021772
2015-09-30,55.7960182407
2015-10-01,55.1602987054
2015-10-02,54.9509764194
2015-10-05,55.9355664314
2015-10-06,54.8424389377
2015-10-07,53.6097632534
2015-10-08,55.2765888643
2015-10-09,55.0750192555
2015-10-12,54.8656969695
2015-10-13,54.2609881432
2015-10-14,53.3151615175
2015-10-15,53.3385044078
2015-10-16,54.5134298879
2015-10-19,55.1203450365
2015-10-20,54.2800009846
2015-10-21,54.6068014492
2015-10-22,53.9532005199
2015-10-23,49.4947084666
2015-10-26,50.9419676671
2015-10-27,51.447730291
2015-10-28,52.9261133453
2015-10-29,52.8093988937
2015-10-30,52.7160273323
2015-11-02,53.0972945411
2015-11-03,53.8364860683
2015-11-04,53.2217899562
2015-11-05,53.657523909
2015-11-06,52.1168931472
2015-11-09,52.3036362698
2015-11-10,51.0820250091
2015-11-11,48.3820306941
2015-11-12,47.7362107282
2015-11-13,45.1607118283
2015-11-16,46.0166178071
2015-11-17,46.2967324911
2015-11-18,47.557248569
2015-11-19,47.8762680702
2015-11-20,50.5918243122
2015-11-23,50.6229481659
2015-11-24,50.7630055079
2015-11-25,51.3854825834
2015-11-27,51.5488828157
2015-11-30,50.5762623853
2015-12-01,51.1053678994
2015-12-02,51.2687681318
2015-12-03,49.7281373699
2015-12-04,51.2609871683
2015-12-07,51.6111305233
2015-12-08,51.797873646
2015-12-09,51.6967211212
2015-12-10,52.1869218181
2015-12-11,51.6655972674
2015-12-14,51.37770162
2015-12-15,49.6814515892
2015-12-16,50.6385100928
2015-12-17,49.8059470043
2015-12-18,50.0160330173
2015-12-21,49.8059470043
2015-12-22,51.8601213535
2015-12-23,52.132455074
2015-12-24,50.5684814218
2015-12-28,50.7785674348
2015-12-29,51.1131488629
2015-12-30,50.5295766046
2015-12-31,50.6462910563
